age,income,credit_score,loan_amount,active_loans,app_usage_frequency,engagement_score,migrated,loan_status_Ongoing,loan_status_Paid
58,62842,769,18745,4,3,77,0,False,True
48,38900,415,40433,2,23,29,0,True,False
34,105059,341,38062,1,4,36,0,True,False
62,26881,678,35555,3,15,87,0,True,False
27,58037,505,2073,1,18,27,0,True,False
40,26630,765,33683,4,28,18,0,True,False
58,45789,579,26741,1,3,18,0,True,False
38,113059,417,23286,1,7,9,0,False,True
42,108494,536,4599,4,8,67,0,True,False
30,71151,608,28293,4,11,7,0,False,True
30,73920,755,16389,2,25,58,0,False,False
43,134388,774,45113,0,22,79,0,False,True
55,92231,399,13318,3,26,30,0,False,False
59,142946,560,49875,3,9,73,0,False,True
43,105357,604,4055,3,20,61,0,False,True
22,28262,653,18043,1,12,91,0,True,False
41,91981,585,7320,4,5,82,0,False,True
21,145951,627,40281,4,1,95,0,False,True
43,148099,402,5642,4,14,17,0,True,False
63,106972,362,28158,0,25,53,0,False,False
49,100485,581,10321,4,25,6,0,True,False
57,79722,740,15432,4,25,39,0,True,False
21,114499,592,23757,1,3,25,0,True,False
40,75818,306,38234,2,29,42,0,False,False
52,54932,391,27044,3,15,42,0,False,True
31,31901,489,22971,1,10,59,1,False,True
41,142473,775,45226,1,26,38,0,True,False
63,124023,810,49647,1,10,31,0,True,False
44,33597,761,26727,3,24,29,0,False,True
46,88909,352,23559,1,3,9,0,False,True
61,97391,785,9284,2,29,1,0,False,True
47,109214,789,44526,4,6,80,0,False,False
35,33263,663,18665,2,5,87,0,False,False
34,88293,411,28476,4,24,72,0,True,False
63,137824,708,11991,4,19,47,0,False,False
22,149933,306,20561,1,14,76,0,True,False
56,50805,496,5511,1,17,10,0,False,True
26,116679,666,11796,3,12,16,0,False,True
40,36874,549,4881,0,9,47,0,True,False
28,118065,539,16668,2,26,43,0,False,True
58,111402,679,36181,3,25,24,0,True,False
37,39079,770,35312,3,3,8,0,True,False
23,74850,754,29106,2,18,75,0,True,False
44,97779,665,28222,2,4,26,0,False,False
33,120408,589,16729,4,14,7,0,True,False
28,34018,702,5784,0,24,79,0,True,False
45,145606,357,39394,1,6,15,0,True,False
21,74500,820,38282,0,26,48,0,False,False
39,145062,603,34913,0,15,3,0,False,True
47,37100,414,10102,1,17,16,0,False,False
26,82021,509,45266,0,24,79,0,True,False
63,139995,340,39218,3,5,89,0,False,False
27,44800,472,18950,3,29,97,0,False,True
54,88400,533,5507,1,6,14,0,False,True
33,117446,702,47303,1,21,88,0,True,False
36,54437,338,38016,2,26,75,0,False,True
55,128124,418,14523,2,5,3,0,False,False
59,101537,634,25667,0,19,73,0,False,False
23,71675,635,4992,0,14,70,0,False,True
21,44942,838,42290,1,4,31,0,True,False
25,45862,373,9027,0,5,80,0,True,False
61,36669,490,23144,4,11,75,0,False,False
23,146219,623,26530,3,27,17,0,False,True
48,78772,446,45740,0,2,49,0,False,False
37,40916,583,16305,0,22,3,0,False,False
45,35878,512,44561,2,2,83,0,False,False
63,27985,693,22731,4,20,88,0,True,False
53,122905,638,21673,0,12,55,0,False,True
29,98648,321,34297,3,16,72,0,False,True
55,66235,404,26842,0,17,40,0,True,False
33,43931,765,24827,1,4,66,0,False,False
50,117876,758,38502,4,14,87,0,False,False
34,25336,731,47666,0,7,40,0,True,False
27,67933,520,27173,4,15,30,0,False,True
33,109899,678,19909,0,16,25,0,True,False
42,70536,521,32007,3,8,7,0,False,True
59,94504,557,13985,3,2,92,1,False,True
40,124214,666,23525,4,19,50,0,False,True
35,76148,648,47757,2,1,81,0,False,False
64,138936,524,36510,2,23,96,0,False,False
37,41279,535,38403,1,4,1,0,True,False
43,93665,482,38193,2,27,91,0,True,False
45,128751,743,42429,4,26,44,0,False,False
44,129433,305,4830,2,24,49,0,True,False
64,96386,535,1533,1,21,7,0,False,False
60,111124,426,48018,0,25,3,0,False,False
48,130750,403,21946,2,22,94,1,False,True
34,102485,779,24504,4,11,1,0,False,True
64,99055,454,46015,4,10,51,0,False,False
20,116911,556,29255,1,18,98,0,False,True
44,123618,534,37855,1,1,38,0,False,False
26,102273,799,42721,3,17,43,0,False,True
28,91670,588,47061,3,16,55,0,True,False
43,101474,809,42850,3,12,57,0,True,False
20,79028,597,36123,0,28,53,0,False,False
63,115022,436,35723,4,16,33,0,False,False
27,138892,675,36739,3,9,80,0,False,True
43,116632,386,6539,4,17,62,0,False,True
30,131651,718,8493,1,3,11,0,False,False
36,96128,498,36604,0,28,72,0,True,False
27,43108,762,22311,1,18,52,0,True,False
54,77495,736,38707,4,15,1,0,False,False
54,107806,609,4644,3,15,14,0,True,False
52,118185,580,21445,1,16,94,0,False,False
24,101533,622,36934,2,28,85,0,False,True
61,124025,451,10511,0,20,21,0,True,False
58,81830,601,1183,4,1,34,0,True,False
60,99640,577,10475,3,1,90,0,False,True
47,77509,307,20230,1,4,14,0,False,True
26,91406,534,27008,0,29,40,0,True,False
28,119220,601,12332,3,13,35,0,True,False
